URL,campaign,ad_format,clicks,spend,creative_size,date,impressions,reach,audience,platform,creative_family,creative_version,full_video_views,video_starts,follows,days_from_max,latest_report,CTR,CTR_score,weighted_CTR_score,n
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale mortgage lenders,2022-08-16,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,76,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lenders,2022-10-09,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,22,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage rates,2022-07-05,2,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,118,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lending,2022-05-25,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,159,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,mortgage loan broker license,2022-10-21,0,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,10,1,NA,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage loan broker license,2022-07-28,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,95,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage lenders,2022-09-05,0,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,56,0,NA,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale mortgage services,2022-08-09,2,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,83,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage rates,2022-08-24,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,68,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,mortgage loan broker license,2022-10-01,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,30,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage wholesale,2022-08-22,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,70,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lending,2022-04-19,2,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,195,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lending,2022-04-27,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,187,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage rates,2022-05-18,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,166,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale mortgage lenders,2022-08-10,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,82,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lending,2022-07-04,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,119,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale mortgage services,2022-06-19,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,134,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale mortgage lenders,2022-10-11,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,20,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage wholesale,2022-05-02,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,182,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lending,2022-07-31,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,92,0,0,NA,NA,2
