,date,audience,clicks,spend,impressions,reach,total_sessions,completions_F_T,Audience_1,Audience_2,Audience_3,Audience_4,Audience_5,Audience_6,Close_Faster,Closer_Twins,Competitive_Opportunity,SEM_Ads,Unfair_Advantage,Domain_Dsiplay,Facebook,Google_SEM,Linkedin,OTT,User_ID_Display
8726,14/10/2022,1,1,0,159,6,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
8727,14/10/2022,1,10,33.007979,6490,3518,16,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8728,14/10/2022,1,3,11.98771051,42,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
8729,14/10/2022,1,0,0,105,9,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
8730,14/10/2022,1,0,0,98,10,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
8731,14/10/2022,1,1,10.99168831,39,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
8732,14/10/2022,1,13,34.261896,6623,3726,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8733,14/10/2022,1,1,15.05,62,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
8734,14/10/2022,1,3,0,1582,49,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
8735,14/10/2022,1,1,8.388713386,29,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
8736,14/10/2022,2,6,6.674549,1321,717,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8737,14/10/2022,2,8,6.712993,1311,701,12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8738,14/10/2022,2,13,7.140043,1380,787,16,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8739,14/10/2022,3,14,34.467222,6781,3412,16,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8740,14/10/2022,3,10,35.073102,6931,3472,14,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8741,14/10/2022,3,1,0,413,32,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
8742,14/10/2022,3,0,0,399,29,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
8743,14/10/2022,3,2,0,428,28,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
8744,14/10/2022,3,8,35.282667,6880,3719,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8745,14/10/2022,3,2,0,2007,75,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
8746,14/10/2022,4,33,72.407031,14624,8374,44,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
8747,14/10/2022,4,29,72.734668,14688,8468,46,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
8748,14/10/2022,4,1,35.24010088,342,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
8749,14/10/2022,4,2,0,6879,1240,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
8750,14/10/2022,4,1,0,2732,292,4,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
8751,14/10/2022,4,0,0,1240,107,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
8752,14/10/2022,4,0,0,1258,108,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
8753,14/10/2022,4,1,27.93722294,289,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
8754,14/10/2022,4,0,0,1307,121,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
8755,14/10/2022,4,3,0,5992,619,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
8756,14/10/2022,4,22,63.455585,12757,7658,26,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
8757,14/10/2022,4,33,0,48278,3091,43,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
8758,14/10/2022,4,1,19.92455539,228,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
8759,14/10/2022,4,15,80.57,4876,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
8760,14/10/2022,4,20,0,21915,1474,25,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
8761,14/10/2022,4,14,0,23816,1993,16,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
8762,14/10/2022,4,5,31.02911716,315,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
8763,14/10/2022,5,2,18.79761061,134,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
8764,14/10/2022,5,1,0,1259,79,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
8765,14/10/2022,5,29,62.755869,12173,2365,36,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
8766,14/10/2022,5,4,0,2248,82,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
8767,14/10/2022,5,6,12.02533,2480,830,11,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
8768,14/10/2022,5,1,27.40641831,173,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
8769,14/10/2022,5,1,0,2844,217,5,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
8770,14/10/2022,5,8,0,5507,227,7,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
8771,14/10/2022,5,2,13.55913814,110,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
8772,14/10/2022,5,7,114.88,1277,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
8773,14/10/2022,5,7,0,7643,262,8,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
8774,14/10/2022,5,3,0,3064,256,5,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
8775,14/10/2022,5,6,0,6058,231,6,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
8776,14/10/2022,6,58,42.77,270,0,92,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
8777,14/10/2022,6,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
8778,15/10/2022,1,8,31.85692,6063,2990,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8779,15/10/2022,1,8,32.255627,6152,3018,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8780,15/10/2022,1,0,0,63,8,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
8781,15/10/2022,1,5,33.155615,6287,3244,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8782,15/10/2022,1,0,18.19,86,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
8783,15/10/2022,1,1,3.111516941,16,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
8784,15/10/2022,1,3,0,1207,40,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
8785,15/10/2022,2,1,6.619198,1261,611,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8786,15/10/2022,2,4,6.186349,1182,597,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8787,15/10/2022,2,5,6.738658,1262,602,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8788,15/10/2022,3,9,30.582395,5861,2760,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8789,15/10/2022,3,9,30.386155,5835,2769,11,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8790,15/10/2022,3,14,31.309414,5925,2944,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8791,15/10/2022,4,1,0,313,17,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
8792,15/10/2022,4,31,66.607364,13100,6858,30,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
8793,15/10/2022,4,20,65.986143,12948,6898,17,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
8794,15/10/2022,4,1,25.71249676,245,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
8795,15/10/2022,4,5,0,4063,510,4,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
8796,15/10/2022,4,0,0,1231,116,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
8797,15/10/2022,4,0,0,1234,112,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
8798,15/10/2022,4,2,0,4432,436,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
8799,15/10/2022,4,23,62.351374,12121,6607,34,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
8800,15/10/2022,4,37,0,48214,2762,32,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
8801,15/10/2022,4,1,17.29608915,178,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
8802,15/10/2022,4,10,55.55,2702,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
8803,15/10/2022,4,1,0,832,37,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
8804,15/10/2022,4,24,0,19484,1263,17,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
8805,15/10/2022,4,1,28.43450965,282,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
8806,15/10/2022,4,20,0,20442,1683,10,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
8807,15/10/2022,4,2,21.71674191,240,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
8808,15/10/2022,5,2,0,915,53,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
8809,15/10/2022,5,22,58.601653,11003,1804,28,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
8810,15/10/2022,5,5,0,2075,67,9,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
8811,15/10/2022,5,3,11.714341,2372,721,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
