...1,date,audience,creative_family,creative_version,platform,ad_format,campaign_traffic,total_sessions,total_bounces,total_duration,days_away,latest_report
8695,2022-10-28,6,SEM Ads,Change Wholesale,Google SEM,CPC,Campaign,101,0,13642,3,1
8696,2022-05-07,1,CloserTwins,Cutdown1A,Facebook,Video,Campaign,1,0,0,177,0
8697,2022-10-01,4,UnfairAdvantage,1099,User ID Display,NA,Campaign,8,0,0,30,0
8698,2022-04-25,3,UnfairAdvantage,one_page,Domain Display,NA,Campaign,2,0,1,189,0
8699,2022-07-16,6,SEM Ads,Change Wholesale,Google SEM,CPC,Campaign,23,0,1405.99999999999,107,0
8700,2022-08-18,4,UnfairAdvantage,one_page,Domain Display,NA,Campaign,1,0,0,74,0
8701,2022-10-25,NA,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,1,0,0,6,1
8702,2022-07-05,5,UnfairAdvantage,1099,Domain Display,Single image,Campaign,8,0,350,118,0
8703,2022-07-14,5,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,2,0,1907,109,0
8704,2022-09-22,3,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,7,0,0,39,0
8705,2022-04-24,1,CloseFaster,3steps,LinkedIn,Single image,Campaign,1,0,0,190,0
8706,2022-09-01,4,CloseFaster,3steps,LinkedIn,Single image,Campaign,1,0,0,60,0
8707,2022-06-07,4,UnfairAdvantage,1099,LinkedIn,Single image,Campaign,1,0,0,146,0
8708,2022-10-04,4,UnfairAdvantage,1099,User ID Display,Single image,Campaign,6,0,0,27,0
8709,2022-09-07,6,Trade Media Ads,ROS1,Trade Media,Housingwire,Campaign,2,0,0,54,0
8710,2022-06-28,6,Trade Media Ads,NA,Trade Media,Chrisman,General traffic,11,0,4112,125,0
8711,2022-05-16,4,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0,168,0
8712,2022-07-16,5,CloseFaster,3steps,LinkedIn,Single image,Campaign,1,0,0,107,0
8713,2022-08-04,1,UnfairAdvantage,1099,User ID Display,Single image,Campaign,11,0,0,88,0
8714,2022-04-29,4,CloserTwins,Paperwork,LinkedIn,Video,Campaign,1,0,0,185,0
8715,2022-05-25,4,CloseFaster,FasterAll,Domain Display,NA,Campaign,1,0,0,159,0
8716,2022-07-30,3,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,3,0,0,93,0
8717,2022-08-03,1,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0,89,0
8718,2022-09-14,1,CloseFaster,MoreAll,User ID Display,NA,Campaign,14,0,0,47,0
8719,2022-10-17,1,UnfairAdvantage,one_page,LinkedIn,Single image,Campaign,1,0,0,14,0
8720,2022-10-18,4,UnfairAdvantage,1099,Domain Display,NA,Campaign,59,0,119.999999999999,13,1
8721,2022-05-11,1,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,3,0,0,173,0
8722,2022-09-13,4,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,26,0,456.999999999998,48,0
8723,2022-07-09,NA,(not set),NA,NA,NA,General traffic,318,59,41291.9999999999,114,0
8724,2022-09-02,4,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,1,0,0,59,0
8725,2022-10-11,5,CloseFaster,FasterReg,User ID Display,NA,Campaign,28,27,3.99999999999997,20,0
8726,2022-09-29,5,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,6,0,0,32,0
8727,2022-08-18,4,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,5,0,0,74,0
8728,2022-08-12,1,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,9,0,0,80,0
8729,2022-06-30,5,UnfairAdvantage,one_page,Domain Display,NA,Campaign,7,0,0,123,0
8730,2022-08-14,2,CloserTwins,Faceoff,Domain Display,NA,Campaign,1,0,0,78,0
8731,2022-08-09,2,CloseFaster,FasterAll,User ID Display,NA,Campaign,5,0,0,83,0
8732,2022-04-16,6,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,1,0,0,198,0
8733,2022-08-17,4,UnfairAdvantage,1099,User ID Display,Single image,Campaign,2,0,0,75,0
8734,2022-10-03,1,CloseFaster,MoreAll,User ID Display,NA,Campaign,19,0,0,28,0
8735,2022-09-18,2,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,1,0,0,43,0
8736,2022-07-19,4,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,1,0,0,104,0
8737,2022-09-26,4,CloseFaster,FasterAll,User ID Display,NA,Campaign,26,0,9.99999999999998,35,0
8738,2022-08-06,1,CloseFaster,MoreAll,User ID Display,NA,Campaign,8,0,0,86,0
8739,2022-05-16,NA,CloseFaster,3steps,LinkedIn,Single image,Campaign,1,0,0,168,0
8740,2022-08-23,2,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,4,0,0,69,0
8741,2022-10-01,4,CloseFaster,FasterAll,User ID Display,NA,Campaign,17,0,0,30,0
8742,2022-10-10,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,18,0,0,21,0
8743,2022-07-12,4,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,2,0,2,111,0
8744,2022-09-18,3,UnfairAdvantage,1099,User ID Display,Single image,Campaign,17,0,0,43,0
8745,2022-05-30,4,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,4,0,0,154,0
8746,2022-09-22,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,3,0,0,39,0
