...1,date,campaign,audience,creative_family,creative_version,platform,ad_format,goal,completions,campaign_traffic,days_away,latest_report
2093,2022-04-12,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2,General traffic,202,0
2094,2022-04-12,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),14,General traffic,202,0
2095,2022-04-12,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,202,0
2096,2022-04-13,(not set),NA,NA,NA,NA,NA,Form Submission,3,General traffic,201,0
2097,2022-04-13,(not set),NA,NA,NA,NA,NA,Get Approved,2,General traffic,201,0
2098,2022-04-13,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2,General traffic,201,0
2099,2022-04-13,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),22,General traffic,201,0
2100,2022-04-13,(not set),NA,NA,NA,NA,NA,Start Closing More,2,General traffic,201,0
2101,2022-04-14,(not set),NA,NA,NA,NA,NA,Form Submission,3,General traffic,200,0
2102,2022-04-14,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,200,0
2103,2022-04-14,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),4,General traffic,200,0
2104,2022-04-14,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),22,General traffic,200,0
2105,2022-04-14,(not set),NA,NA,NA,NA,NA,Start Closing More,3,General traffic,200,0
2106,2022-04-15,(not set),NA,NA,NA,NA,NA,Form Submission,2,General traffic,199,0
2107,2022-04-15,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,199,0
2108,2022-04-15,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),20,General traffic,199,0
2109,2022-04-15,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,199,0
2110,2022-04-16,(not set),NA,NA,NA,NA,NA,Form Submission,1,General traffic,198,0
2111,2022-04-16,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,198,0
2112,2022-04-16,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,198,0
2113,2022-04-17,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),4,General traffic,197,0
2114,2022-04-17,(not set),NA,NA,NA,NA,NA,Start Closing More,1,General traffic,197,0
2115,2022-04-18,(not set),NA,NA,NA,NA,NA,Form Submission,3,General traffic,196,0
2116,2022-04-18,(not set),NA,NA,NA,NA,NA,Get Approved,3,General traffic,196,0
2117,2022-04-18,(not set),NA,NA,NA,NA,NA,Home Page Video Play,1,General traffic,196,0
2118,2022-04-18,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2,General traffic,196,0
2119,2022-04-18,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),18,General traffic,196,0
2120,2022-04-18,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,196,0
2121,2022-04-18,(not set),NA,NA,NA,NA,NA,Start Closing More,3,General traffic,196,0
2122,2022-04-19,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),12,General traffic,195,0
2123,2022-04-19,(not set),NA,NA,NA,NA,NA,Start Closing More,3,General traffic,195,0
2124,2022-04-20,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),20,General traffic,194,0
2125,2022-04-20,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,194,0
2126,2022-04-20,(not set),NA,NA,NA,NA,NA,Start Closing More,3,General traffic,194,0
2127,2022-04-21,(not set),NA,NA,NA,NA,NA,Form Submission,2,General traffic,193,0
2128,2022-04-21,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,193,0
2129,2022-04-21,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),13,General traffic,193,0
2130,2022-04-22,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,192,0
2131,2022-04-22,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,192,0
2132,2022-04-22,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),14,General traffic,192,0
2133,2022-04-22,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,192,0
2134,2022-04-23,(not set),NA,NA,NA,NA,NA,Form Submission,1,General traffic,191,0
2135,2022-04-23,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,191,0
2136,2022-04-23,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2,General traffic,191,0
2137,2022-04-23,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic,191,0
2138,2022-04-23,(not set),NA,NA,NA,NA,NA,Start Closing More,1,General traffic,191,0
2139,2022-04-24,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,190,0
2140,2022-04-24,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,190,0
2141,2022-04-24,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic,190,0
2142,2022-04-25,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),7,General traffic,189,0
2143,2022-04-25,(not set),NA,NA,NA,NA,NA,Start Closing More,2,General traffic,189,0
2144,2022-04-26,(not set),NA,NA,NA,NA,NA,Form Submission,1,General traffic,188,0
2145,2022-04-26,(not set),NA,NA,NA,NA,NA,Get Approved,2,General traffic,188,0
2146,2022-04-26,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),9,General traffic,188,0
2147,2022-04-26,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),2,General traffic,188,0
2148,2022-04-26,(not set),NA,NA,NA,NA,NA,Start Closing More,2,General traffic,188,0
2149,2022-04-27,(not set),NA,NA,NA,NA,NA,Get Approved,2,General traffic,187,0
2150,2022-04-27,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2,General traffic,187,0
2151,2022-04-27,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),9,General traffic,187,0
2152,2022-04-27,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),2,General traffic,187,0
2153,2022-04-27,(not set),NA,NA,NA,NA,NA,Start Closing More,2,General traffic,187,0
2154,2022-04-28,(not set),NA,NA,NA,NA,NA,Form Submission,1,General traffic,186,0
2155,2022-04-28,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),16,General traffic,186,0
2156,2022-04-28,(not set),NA,NA,NA,NA,NA,Start Closing More,4,General traffic,186,0
2157,2022-04-29,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,185,0
2158,2022-04-29,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,185,0
2159,2022-04-29,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),10,General traffic,185,0
2160,2022-04-29,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,185,0
2161,2022-04-30,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,184,0
2162,2022-04-30,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,184,0
2163,2022-04-30,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),3,General traffic,184,0
2164,2022-05-01,(not set),NA,NA,NA,NA,NA,Form Submission,1,General traffic,183,0
2165,2022-05-01,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic,183,0
2166,2022-05-02,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,182,0
2167,2022-05-02,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),10,General traffic,182,0
2168,2022-05-03,(not set),NA,NA,NA,NA,NA,Form Submission,1,General traffic,181,0
2169,2022-05-03,(not set),NA,NA,NA,NA,NA,Get Approved,2,General traffic,181,0
2170,2022-05-03,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),12,General traffic,181,0
2171,2022-05-03,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,181,0
2172,2022-05-03,(not set),NA,NA,NA,NA,NA,Start Closing More,4,General traffic,181,0
2173,2022-05-04,(not set),NA,NA,NA,NA,NA,Form Submission,1,General traffic,180,0
2174,2022-05-04,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2,General traffic,180,0
2175,2022-05-04,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),11,General traffic,180,0
2176,2022-05-05,(not set),NA,NA,NA,NA,NA,Form Submission,1,General traffic,179,0
2177,2022-05-05,(not set),NA,NA,NA,NA,NA,Get Approved,3,General traffic,179,0
2178,2022-05-05,(not set),NA,NA,NA,NA,NA,Home Page Video Play,1,General traffic,179,0
2179,2022-05-05,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,179,0
2180,2022-05-05,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),12,General traffic,179,0
2181,2022-05-05,(not set),NA,NA,NA,NA,NA,Start Closing More,3,General traffic,179,0
2182,2022-05-06,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,178,0
