,city_name,latitude,longitude,city_population,city_state_code,state_name
259,South Miami Heights,25.59761,-80.38061,36770,FL,Florida
2346,South Milwaukee,42.91057,-87.86064,21233,WI,Wisconsin
3051,South Ogden,41.19189,-111.97133,16955,UT,Utah
1890,South Old Bridge,40.40816,-74.35432,23233,NJ,New Jersey
1891,South Orange,40.74899,-74.26126,17295,NJ,New Jersey
2104,South Ozone Park,40.6701,-73.81902,75878,NY,New York
2763,South Pasadena,34.11612,-118.15035,26151,CA,California
1597,South Peabody,42.50982,-70.94949,50293,MA,Massachusetts
1892,South Plainfield,40.57927,-74.41154,24290,NJ,New Jersey
1629,South Portland,43.64147,-70.24088,25556,ME,Maine
1630,South Portland Gardens,43.63897,-70.31533,23893,ME,Maine
1161,South Riding,38.92094,-77.50388,24256,VA,Virginia
1893,South River,40.44649,-74.38598,16399,NJ,New Jersey
1773,South Saint Paul,44.89274,-93.03494,20160,MN,Minnesota
3052,South Salt Lake,40.71884,-111.88827,24788,UT,Utah
2764,South San Francisco,37.65466,-122.40775,67271,CA,California
2765,South San Jose Hills,34.01279,-117.90478,20551,CA,California
1445,South Shore,41.76198,-87.57783,51451,IL,Illinois
1162,South Suffolk,36.71709,-76.59023,80690,VA,Virginia
2876,South Valley,35.01005,-106.67808,40976,NM,New Mexico
766,South Vineland,39.44595,-75.02879,58122,NJ,New Jersey
2766,South Whittier,33.95015,-118.03917,57156,CA,California
1236,South Windsor,41.82371,-72.6212,24412,CT,Connecticut
2767,South Yuba City,39.11656,-121.63913,15217,CA,California
682,Southaven,34.98898,-90.01259,52589,MS,Mississippi
1598,Southbridge,42.0751,-72.03341,19030,MA,Massachusetts
1237,Southbury,41.48148,-73.21317,19836,CT,Connecticut
260,Southchase,28.39306,-81.3834,15921,FL,Florida
1692,Southfield,42.47337,-83.22187,73156,MI,Michigan
1693,Southgate,42.21393,-83.19381,29293,MI,Michigan
2857,Southglenn,39.58721,-104.95276,42268,CO,Colorado
1073,Southlake,32.94124,-97.13418,29941,TX,Texas
3125,Spanaway,47.10399,-122.43457,27227,WA,Washington
3053,Spanish Fork,40.11496,-111.65492,37935,UT,Utah
651,Spanish Lake,38.78783,-90.21594,19650,MO,Missouri
2889,Spanish Springs,39.64908,-119.70741,15064,NV,Nevada
2890,Sparks,39.53491,-119.75269,96094,NV,Nevada
1894,Sparta,41.03343,-74.63849,19722,NJ,New Jersey
877,Spartanburg,34.94957,-81.93205,37867,SC,South Carolina
3126,Spokane,47.65966,-117.42908,213272,WA,Washington
3127,Spokane Valley,47.67323,-117.23937,94919,WA,Washington
1074,Spring,30.07994,-95.41716,54298,TX,Texas
261,Spring Hill,28.47688,-82.52546,98621,FL,Florida
924,Spring Hill,35.75118,-86.93,36055,TN,Tennessee
2106,Spring Valley,41.11315,-74.04375,32598,NY,New York
2768,Spring Valley,32.74477,-116.99892,28205,CA,California
2891,Spring Valley,36.10803,-115.245,178395,NV,Nevada
796,Springboro,39.55228,-84.23327,18213,OH,Ohio
61,Springdale,36.18674,-94.12881,77859,AR,Arkansas
